name,type,link
Xavier Niel,holder,https://fr.wikipedia.org/wiki/Xavier_Niel
la famille Bouygues,holder,https://fr.wikipedia.org/wiki/Martin_Bouygues
la famille Lemoine,holder,https://metada.org/graph/165
Jean-Louis Louvel,holder,https://metada.org/graph/279
Patrick Hurbain,holder,https://fr.wikipedia.org/wiki/Patrick_Hurbain
Jean-Christophe Tortora,holder,https://duckduckgo.com/?q=Jean-Christophe+Tortora&atb=v196-1&ia=web
Laurent Alexandre,holder,https://fr.wikipedia.org/wiki/Laurent_Alexandre
Arnaud Lagardère,holder,https://fr.wikipedia.org/wiki/Arnaud_Lagard%C3%A8re
Ghosn Capital,holder,https://fr.wikipedia.org/wiki/Carlos_Ghosn
Bertelsmann,holder,https://fr.wikipedia.org/wiki/Bertelsmann
The Conversation Trust,holder,https://fr.wikipedia.org/wiki/The_Conversation_(m%C3%A9dia)
la famille Dassault,holder,https://fr.wikipedia.org/wiki/Serge_Dassault
Mathieu Pigasse,holder,https://fr.wikipedia.org/wiki/Matthieu_Pigasse
Iskandar Safa,holder,https://fr.wikipedia.org/wiki/Iskandar_Safa
Ariane Rothschild,holder,https://fr.wikipedia.org/wiki/Ariane_de_Rothschild
Benjamin de Rothschild,holder,https://fr.wikipedia.org/wiki/Benjamin_de_Rothschild
Vincent Bolloré,holder,https://fr.wikipedia.org/wiki/Vincent_Bollor%C3%A9
Daniel Křetínský,holder,https://fr.wikipedia.org/wiki/Daniel_K%C5%99et%C3%ADnsk%C3%BD
François Pinault,holder,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Pinault
Crédit Mutuel,holder,https://fr.wikipedia.org/wiki/Cr%C3%A9dit_mutuel
la Fondation Varenne,group,https://duckduckgo.com/?q=Fondation+Varenne
la famille Saint-Cricq,holder,https://fr.wikipedia.org/wiki/Nathalie_Saint-Cricq
Philippe Hersant,holder,https://fr.wikipedia.org/wiki/Philippe_Hersant_(patron_de_presse)
Bernard Tapie,holder,https://fr.wikipedia.org/wiki/Bernard_Tapie
Nethys,group,https://fr.wikipedia.org/wiki/Nethys
Jean-Louis Louvel,holder,https://duckduckgo.com/?q=Jean-Louis+Louvel
Edouard Coudurier,holder,https://duckduckgo.com/?q=%22Edouard+Coudurier%22
la famille Hurbain,holder,https://fr.wikipedia.org/wiki/Patrick_Hurbain
la famille Hutin,holder,https://duckduckgo.com/?q=%22Famille+Hutin%22
la famille Baylet,holder,https://fr.wikipedia.org/wiki/Jean-Michel_Baylet
Franck Julien,holder,https://fr.wikipedia.org/wiki/Franck_Julien
l'ensemble des Augustins de l'Assomption,group,https://fr.wikipedia.org/wiki/Augustins_de_l%27Assomption
Arnaud lagardère,holder,https://fr.wikipedia.org/wiki/Arnaud_lagard%C3%A8re
Qatar Investment Authority,group,https://fr.wikipedia.org/wiki/Qatar_Investment_Authority
la famille Baudecroux,holder,https://fr.wikipedia.org/wiki/Jean-Paul_Baudecroux
la famille Mohn,holder,https://fr.wikipedia.org/wiki/Famille_Mohn
Georges Ghosn,holder,https://fr.wikipedia.org/wiki/Georges_Ghosn
Patrick Drahi,holder,https://fr.wikipedia.org/wiki/Patrick_Drahi
Bernard Arnault,holder,https://fr.wikipedia.org/wiki/Bernard_Arnault
Nicolas Beytout,holder,https://fr.wikipedia.org/wiki/Nicolas_Beytout
la famille Bettencourt,holder,https://fr.wikipedia.org/wiki/Famille_Bettencourt
Claude Perdriel,holder,https://fr.wikipedia.org/wiki/Claude_Perdriel
Verizon,group,https://fr.wikipedia.org/wiki/Verizon_Communications
la République Française,group,https://fr.wikipedia.org/wiki/R%C3%A9publique_Fran%C3%A7aise
la République Fédérale d'Allemagne,group,https://fr.wikipedia.org/wiki/Allemagne
